"gene","dnLGD","dnMIS","dnMIS30","dnLGD_pValue","dnLGD_qValue","dnMIS_pValue","dnMIS_qValue","dnMIS30_pValue","dnMIS30_qValue"
"ADAP1",0,3,1,1,1,3.36303881197416e-14,1.59290333329156e-10,2.87634976342997e-06,0.00389252304413887
"ADNP",36,6,0,2.82469121314938e-74,5.35165997243282e-70,0.0014693064326369,0.869921239773083,1,1
"AGO3",0,3,3,1,1,0.0259007492899686,1,2.26263314301209e-05,0.0204132607273843
"AHDC1",13,4,1,4.36856499110951e-18,5.91191659439719e-15,0.367931007639246,1,0.0348239219876973,1
"AHNAK",0,3,0,1,1,1,1,1,1
"ANK2",9,6,1,1.17433537974547e-05,0.0041979166235203,0.991889471541766,1,0.689636448183506,1
"ARID2",3,2,2,0.0118199292238223,1,0.918199465946825,1,0.0293667926324308,1
"ASH1L",15,1,0,2.50403209095423e-21,3.64933784578606e-18,0.904281085290555,1,1,1
"ASXL3",27,0,0,1.40878880085332e-37,3.33636407762087e-34,1,1,1,1
"BRAF",0,9,2,1,1,1.63928557039829e-12,4.43684348810942e-09,0.00047605817007406,0.290948325491069
"BRPF1",4,1,0,9.43130588027845e-06,0.00343626002322607,0.657940214046237,1,1,1
"CACNA2D3",2,0,0,0.010833952163395,1,1,1,1,1
"CASZ1",6,2,1,8.64368162063978e-07,0.000372189072692366,0.818658380313889,1,0.218013845628436,1
"CDK13",3,12,6,0.000377229986866533,0.11527418276086,4.27862442307573e-09,6.23560140919945e-06,1.86430450932085e-09,3.65665916515203e-06
"CHAMP1",7,1,0,1.64700961126821e-09,1.00658851919637e-06,0.834267559541351,1,1,1
"CHD2",14,13,6,3.03982017977009e-15,2.74249681552019e-12,0.00313423237189662,1,1.25528672935572e-05,0.0132125902079852
"CHD8",21,6,2,5.36009109635829e-35,1.12835873235116e-31,0.00576188769763395,1,0.00617079070668401,1
"CLTC",5,3,1,5.13195016131566e-07,0.000226116111061131,0.0904810408360461,1,0.172072681781074,1
"CNKSR2",5,0,0,8.29927244324505e-08,4.36772265860335e-05,1,1,1,1
"CSNK2A1",1,13,6,0.0797617362549162,1,5.62399484477057e-14,2.13104412658046e-10,1.03914600069967e-09,2.460957516157e-06
